canonical_name,entity_name,similarity_score,count,group_id
Joe Hockey & XAI Pty Ltd (new portion of Platypus Creek Farm),Joe Hockey & XAI Pty Ltd (new portion of Platypus Creek Farm),100.0,1,2959
Joe Hockey & XAI Pty Ltd (new portion of Platypus Creek Farm),Joe Hockey & XAI Pty Ltd (new part of Platypus Creek Farm),95.7983193277311,1,2959
Joe Hockey & M. Babbage (t/a Platypus Creek Farm),Joe Hockey & M. Babbage (t/a Platypus Creek Farm),100.0,1,2961
Joe Hockey & M. Babbage (t/a Platypus Creek Farm),Joe Hockey & M Babbage (t/a Platypus Creek Farm),98.96907216494846,1,2961
Joe Hockey & M. Babbage (t/a Platypus Creek Farm),Joe Hockey & M Babbage t/a Platypus Creek Farm,88.42105263157895,1,2962
Jennifer Porter estate,Jennifer Porter estate,100.0,1,2964
Jennifer Porter estate,Jennifer Porter,81.08108108108108,1,2964
JPG Advisory,JPG Advisory,100.0,1,2966
JPG Advisory,DPG Advisory,91.66666666666666,1,2966
Italo Australia Club Mount Gambier,Italo Australia Club Mount Gambier,100.0,1,2968
Italo Australia Club Mount Gambier,Italo Australia Club (Mount Gambier),80.0,1,2968
Italian Club Fremantle,Italian Club Fremantle,100.0,1,2970
Italian Club Fremantle,Fremantle Italian Club,100.0,1,2970
Italian Chamber of Commerce and Industry in Australia Inc.,Italian Chamber of Commerce and Industry in Australia Inc.,100.0,1,2972
Italian Chamber of Commerce and Industry in Australia Inc.,French Australia Chamber of Commerce and Industry,84.11214953271028,1,2972
Italian Chamber of Commerce and Industry in Australia Inc.,Australian Chamber of Commerce and Industry,83.16831683168317,1,2973
Italian Chamber of Commerce and Industry in Australia Inc.,Italian Chamber of Commerce and Industry (Queensland),81.08108108108108,1,2974
Isys Search Software Pty Ltd (spouse),Isys Search Software Pty Ltd (spouse),100.0,1,2976
Isys Search Software Pty Ltd (spouse),Isys Search Software Pty Ltd,86.15384615384616,1,2976
Ipswich Turf Club,Ipswich Turf Club,100.0,1,2978
Ipswich Turf Club,Ipswich Rifle Club,80.0,1,2978
International Consultation Jewish Parliamentarians,International Consultation Jewish Parliamentarians,100.0,1,2980
International Consultation Jewish Parliamentarians,International Coalition of Jewish Parliamentarians,90.0,1,2980
Inner City Legal Centre Ltd,Inner City Legal Centre Ltd,100.0,1,2982
Inner City Legal Centre Ltd,Inner City Legal Centre,92.0,1,2982
Initiatives of Change,Initiatives of Change,100.0,1,2984
Initiatives of Change,Initiatives for China,80.95238095238095,1,2984
Ing direct,Ing direct,100.0,1,2986
Ing direct,ING direct,80.0,1,2986
Industry Super Fund,Industry Super Fund,100.0,1,2988
Industry Super Fund,Howarth Industry Super Fund,82.6086956521739,1,2988
IndiGold Pty Ltd.,IndiGold Pty Ltd.,100.0,1,2990
IndiGold Pty Ltd.,IndiGold Pty Ltd,96.96969696969697,1,2990
Incapacitated Servicemen and Women's Association of Australia,Incapacitated Servicemen and Women's Association of Australia,100.0,1,2992
Incapacitated Servicemen and Women's Association of Australia,Incapacitated Servicemen and Women's Asso. of Australia,93.10344827586206,1,2992
IMF Conference,IMF Conference,100.0,1,2994
IMF Conference,IATA Conference,82.75862068965517,1,2994
"Hyde Park, Townsville","Hyde Park, Townsville",100.0,1,2996
"Hyde Park, Townsville",Hyde Park Townsville,97.5609756097561,1,2996
"Hunters Hill, NSW","Hunters Hill, NSW",100.0,1,2998
