Name,Party,Electorate,Parliament,Start_Year,End_Year,scraped_date
Ken Wyatt,Liberal Party of Australia,Hasluck,46,2019,2022,2025-03-23
Kate Thwaites,Australian Labor Party,Jagajaga,46,2019,2022,2025-03-23
Alan Tudge,Liberal Party of Australia,Aston,46,2019,2022,2025-03-23
Maria Vamvakinou,Australian Labor Party,Calwell,46,2019,2022,2025-03-23
Bert van Manen,Liberal National Party,Forde,46,2019,2022,2025-03-23
Peter Dutton,Liberal National Party,Dickson,46,2019,2022,2025-03-23
Justine Elliot,Australian Labor Party,Richmond,46,2019,2022,2025-03-23
Warren Entsch,Liberal National Party,Leichhardt,46,2019,2022,2025-03-23
Trevor Evans,Liberal National Party,Brisbane,46,2019,2022,2025-03-23
Mike Freelander,Australian Labor Party,Macarthur,46,2019,2022,2025-03-23
Josh Frydenberg,Liberal Party of Australia,Kooyong,46,2019,2022,2025-03-23
Andrew Gee,National Party of Australia,Calare,46,2019,2022,2025-03-23
Steve Georganas,Australian Labor Party,Adelaide,46,2019,2022,2025-03-23
Mark Coulton,National Party of Australia,Parkes,46,2019,2022,2025-03-23
Milton Dick,Australian Labor Party,Oxley,46,2019,2022,2025-03-23
Mark Dreyfus,Australian Labor Party,Isaacs,46,2019,2022,2025-03-23
Damian Drum,National Party of Australia,Nicholls,46,2019,2022,2025-03-23
Luke Gosling,Australian Labor Party,Solomon,46,2019,2022,2025-03-23
Helen Haines,Independent,Indi,46,2019,2022,2025-03-23
Garth Hamilton [b],Liberal National Party,Groom,46,2019,2022,2025-03-23
Celia Hammond,Liberal Party of Australia,Curtin,46,2019,2022,2025-03-23
Jason Falinski,Liberal Party of Australia,Mackellar,46,2019,2022,2025-03-23
Joel Fitzgibbon,Australian Labor Party,Hunter,46,2019,2022,2025-03-23
Paul Fletcher,Liberal Party of Australia,Bradfield,46,2019,2022,2025-03-23
Nicolle Flint,Liberal Party of Australia,Boothby,46,2019,2022,2025-03-23
Julie Collins,Australian Labor Party,Franklin,46,2019,2022,2025-03-23
Pat Conaghan,National Party of Australia,Cowper,46,2019,2022,2025-03-23
Vince Connelly,Liberal Party of Australia,Stirling,46,2019,2022,2025-03-23
Pat Conroy,Australian Labor Party,Shortland,46,2019,2022,2025-03-23
Mark Butler,Australian Labor Party,Hindmarsh,46,2019,2022,2025-03-23
Terri Butler,Australian Labor Party,Griffith,46,2019,2022,2025-03-23
Anthony Byrne,Australian Labor Party,Holt,46,2019,2022,2025-03-23
Jim Chalmers,Australian Labor Party,Rankin,46,2019,2022,2025-03-23
Jason Clare,Australian Labor Party,Blaxland,46,2019,2022,2025-03-23
Sharon Claydon,Australian Labor Party,Newcastle,46,2019,2022,2025-03-23
Libby Coker,Australian Labor Party,Corangamite,46,2019,2022,2025-03-23
David Coleman,Liberal Party of Australia,Banks,46,2019,2022,2025-03-23
Ed Husic,Australian Labor Party,Chifley,46,2019,2022,2025-03-23
Adam Bandt,Australian Greens,Melbourne,46,2019,2022,2025-03-23
Cathy O'Toole,Australian Labor Party,Herbert,45,2016,2019,2025-03-23
Kerryn Phelps [f],Independent,Wentworth,45,2016,2019,2025-03-23
Jane Prentice,Liberal National Party,Ryan,45,2016,2019,2025-03-23
Josh Wilson [d],Australian Labor Party,Fremantle,45,2016,2019,2025-03-23
Malcolm Turnbull [f],Liberal Party of Australia,Wentworth,45,2016,2019,2025-03-23
Ann Sudmalis,Liberal Party of Australia,Gilmore,45,2016,2019,2025-03-23
Wayne Swan,Australian Labor Party,Lilley,45,2016,2019,2025-03-23
Christopher Pyne,Liberal Party of Australia,Sturt,45,2016,2019,2025-03-23
Steven Ciobo,Liberal National Party,Moncrieff,45,2016,2019,2025-03-23
Gai Brodtmann,Australian Labor Party,Canberra,45,2016,2019,2025-03-23
