id,mp_name,party,electorate,declaration_date,category,sub_category,entity,canonical_entity,item,details
7265f80b-77e9-4849-8b02-c480ab46f415,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,"Australian Institute of Political Science, The","Australian Institute of Political Science, The",Membership,N/A
68a1ecf9-7db5-4abf-94e7-2c117639bffa,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,"Eastwood Club, The","Eastwood Club, The",Membership,N/A
42939b57-e13c-4b50-ae70-a0d76527b09c,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,Global Panel Foundation of America and Australasia,Global Panel Foundation of America and Australia (Advisory Board),Member of Advisory Board,Advisory Board
3b56540c-d818-429f-a92f-e664f5dc28ac,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,Hornsby and District Chamber of Commerce & Industry,Hornsby and District Chamber of Commerce and Industry,Membership,N/A
4378298d-363d-4c9a-bccd-9ba5d5fa3b66,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,"Law Society of NSW, The","Law Society of NSW, The",Life Membership,Life Member
e648b3ec-af30-4ee0-831d-88c6514d82a9,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,"Sydney Institute, The",Sydney Institute,Membership,N/A
91595a96-de6c-416c-818b-c7ce7b1ab93c,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,"UNICEF, Parliamentary Association","UNICEF, Parliamentary Association",Membership,N/A
b72557e0-f46d-4985-b305-30de430aea25,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Membership,Other Membership,"Union and University Club, The (Sydney)","Union and University Club, The (Sydney)",Union and University Club Membership,N/A
8b960093-9791-4bf9-9226-0f2a1755d977,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,"Anglo-Australasian Lawyer's Society, Australia Branch","Anglo-Australasian Lawyer's Society, Australia Branch",Patron Role,Patron
45310b9f-0b69-4a0c-b08b-0375f5ef4eaa,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,"Australian Lebanese Heart Foundation Ltd, The","Australian Lebanese Heart Foundation Ltd, The",Patron Role,Patron
665e9821-b57c-4a90-b07d-4708a6e45037,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,"Hills Musical Society, The","Hills Musical Society, The",Patron Role,Patron
38add1d4-309d-4375-8178-8b0a11c92b73,Philip Maxwell Ruddock,Liberal Party of Australia,Berowra,2010-08-21,Unknown,Other,Sydney Adventist Hospital Zipper and Stent Club,Sydney Adventist Hospital Zipper and Stent Club,Patronage,Patron
